代名詞,指示代名詞,that,beginner,His voice is louder than {that} of mine.,彼の声は私の声よりも大きいです。
代名詞,指示代名詞,that,beginner,The footstep was {that} of a teacher.,その足あとは先生のものでした。
代名詞,指示代名詞,that,advanced,"At first his opinion was always similar to {that} of his siblings, but as he grew older, he soon started developing his own, different opinions.",最初，彼の意見はいつもお兄さんの意見と似ていましたが，成長するにつれ，彼はすぐに自分自身の異なった意見を持ち始めました。
代名詞,指示代名詞,that,advanced,"His style of dancing is very interesting because it is similar to {that} of a ballerina, but has the vigor and energy of hip hop.",彼のダンススタイルはバレリーナのスタイルと似ていながらヒップホップの活力とエネルギーを備えていて，とてもおもしろいです。
代名詞,指示代名詞,that,advanced,"Although Ian is only 10 years old, his artwork is so refined and unique that it is almost better than {that} of professional artists.",イアンは10歳ですが，彼のアート作品はとても洗練されていて個性的でプロのアーティストの作品より良いくらいです。
代名詞,指示代名詞,that,advanced,"Although her parents could not run, Anna was so good at running that it was similar to {that} of a professional track star.",アンナの両親は走れませんでしたが，アンナはとても走りが得意でプロのスター陸上選手と似ていました。
代名詞,指示代名詞,that,advanced,Everyone knew that the loud sound coming from next door was {that} of Tom's guitar.,隣の部屋から聞こえてくる大きな音はトムのギターの音だとだれもが知っていました。
代名詞,指示代名詞,that,advanced,"Japanese people, like {that} of American people, are very gourmet and enjoy exploring food from different parts of the world.",日本人は，アメリカ人と同様にとてもグルメであり，世界のさまざまな地域の料理にすすんで挑戦しています。
代名詞,指示代名詞,that,advanced,"He was so good at playing the piano, listening to him was the equivalent to {that} of a professional pianist.",彼はピアノの演奏がとてもうまく，彼の演奏を聞くのはプロのピアニストのを聞くのと変わりませんでした。
代名詞,指示代名詞,that,advanced,"The way John played soccer was very skillful, and his style was very similar to {that} of Messi.",ジョンのサッカーはとても技巧的で，彼のプレースタイルはメッシと非常に似ていました。
代名詞,指示代名詞,that,advanced,The food cooked by Aunt Suzy was extremely delicious and was similar to {that} of a five star chef.,スージーおばさんの料理はものすごくおいしくて，5つ星シェフの料理と似ていました。
代名詞,指示代名詞,that,advanced,The conservative nature of the people of Japan is similar to {that} of a lot of other Asian countries.,日本の人たちの保守的な性質は他のアジア諸国の多くのそれと似ています。
代名詞,指示代名詞,that,intermediate,His laugh was identical to {that} of his twin brother's.,彼の笑い声は彼の双子の兄弟の笑い声とまったく同じでした。
代名詞,指示代名詞,that,intermediate,Amanda's costume was almost identical to {that} of Tasha's.,アマンダの衣装はターシャの衣装とほとんど同じでした。
代名詞,指示代名詞,that,intermediate,His determination was similar to {that} of a world leader.,彼の決意は世界のリーダーのそれと似ていました。
代名詞,指示代名詞,that,intermediate,The way he speaks is similar to {that} of his sister.,彼の話し方は彼の姉妹の話し方と似ています。
代名詞,指示代名詞,that,intermediate,The style of painting is similar to {that} of Picasso.,画風はピカソのものと似ています。
代名詞,指示代名詞,that,intermediate,His political view is very different from {that} of his parents.,彼の政見は彼の両親のものとは大きく異なります。
代名詞,指示代名詞,that,beginner,My room is bigger than {that} of John's.,私の部屋はジョンの部屋より広いです。
代名詞,指示代名詞,that,beginner,His house is connected to {that} of Linda's.,彼の家はリンダの家とつながっています。
代名詞,指示代名詞,that,beginner,The voice was {that} of a singer.,その声はある歌手のものでした。
代名詞,指示代名詞,that,beginner,The smell was {that} of mother's pie.,その匂いは母のパイの匂いでした。
代名詞,指示代名詞,that,beginner,His house is larger than {that} of mine.,彼の家は私の家より大きいです。
代名詞,指示代名詞,that,beginner,Her foot is smaller than {that} of his.,彼女の足は彼の足より小さいです。
代名詞,指示代名詞,that,beginner,His is different than {that} of Miranda's.,彼のものはミランダのものとは違います。
代名詞,指示代名詞,that,beginner,Liam's pie is better than {that} of Kyle's.,リアムのパイはカイルのよりおいしいです。
代名詞,指示代名詞,that,intermediate,The population of China is bigger than {that} of Japan.,中国の人口は日本の人口より多いです。
代名詞,指示代名詞,that,intermediate,The climate here is very different from {that} of Sweden.,ここの気候はスウェーデンの気候とはかなり異なります。
代名詞,指示代名詞,that,intermediate,Ryan's final score exceeds {that} of Robert's by 100 points.,ライアンの最終得点はロバートの最終得点よりも100点高いです。
代名詞,指示代名詞,that,intermediate,The work done here was {that} of Japanese craftsmen.,ここでなされた仕事は日本の職人によるものでした。
代名詞,不定代名詞,this/that/the + one,beginner,I want the {one} on the left.,左のものがほしいのです。
代名詞,不定代名詞,this/that/the + one,beginner,I want the {one} from mom.,お母さんからのものがいいです。
代名詞,不定代名詞,this/that/the + one,beginner,She doesn't want this {one}.,彼女はこちらはほしくないです。
代名詞,不定代名詞,this/that/the + one,beginner,I don't like that {one}.,そちらは好きではありません。
代名詞,不定代名詞,this/that/the + one,beginner,I know this {one} will be bad.,こちらは悪くなるでしょう。
